user_name,date,text,sentiment,category,recommendation
,2022-07-12 16:53:46+00:00,fair enough however sometimes take week due processes newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. fair not enough however sometimes take week due processes newerauniversityonlineservice registrar
,2022-07-12 18:42:13+00:00,lacks contact information professors poor chat system newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. lacks contact information professors poor chat system newerauniversityonlineservice learningplatform
,2022-07-12 18:41:57+00:00,iyong 3 g naman maganda pero bat may semicolon sa login page newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. iyong 3 g naman maganda pero bat may semicolon sa login page newerauniversityonlineservice learningplatform
,2022-07-12 18:18:38+00:00,straigtfoward transaction newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. straigtfoward transaction newerauniversityonlineservice registrar
,2022-07-12 18:41:31+00:00,sometimes keeps crashing newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. sometimes keeps crashing newerauniversityonlineservice learningplatform
,2022-07-12 18:41:15+00:00,effective platform online services newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. effective platform online services newerauniversityonlineservice learningplatform
,2022-07-12 17:29:59+00:00,sometimes slow sometimes fast newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. sometimes slow sometimes fast newerauniversityonlineservice registrar
,2022-07-12 18:39:57+00:00,sometimes maintenance annoying especially tasks accomplish newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. sometimes maintenance annoying especially tasks accomplish newerauniversityonlineservice learningplatform
,2022-07-12 17:30:10+00:00,sometimes slow sometimes fast newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. sometimes slow sometimes fast newerauniversityonlineservice cashier
,2022-07-12 17:30:24+00:00,every subject format slow midterm week final newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. every subject format slow midterm week final newerauniversityonlineservice learningplatform
,2022-07-12 18:37:36+00:00,alright sometimes really slow handling transactions newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. alright sometimes really slow handling transactions newerauniversityonlineservice cashier
,2022-07-12 17:14:45+00:00,fair enough however sometimes take week due processes newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. fair not enough however sometimes take week due processes newerauniversityonlineservice cashier
,2022-07-12 17:31:27+00:00,slow respond students queries comes online payment tuition fees etc newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. slow respond students queries comes online payment tuition fees etc newerauniversityonlineservice cashier
,2022-07-12 18:42:40+00:00,difficult understand navigation every page hard find newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. difficult understand navigation every page hard find newerauniversityonlineservice learningplatform
,2022-07-12 18:36:41+00:00,cashier online services slow services always wait 3 days confirm payments,negative,cashier,Improvements can be made in the cashier service. cashier online services slow services always wait 3 days confirm payments
,2022-07-12 18:29:45+00:00,smooth transaction newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. smooth transaction newerauniversityonlineservice cashier
,2022-07-12 17:32:28+00:00,articulate friendly newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. articulate friendly newerauniversityonlineservice cashier
,2022-07-12 18:28:59+00:00,responsive newerauniversityonlineservice,negative,general,responsive newerauniversityonlineservice
,2022-07-12 17:32:38+00:00,online platforms helped students adjust adapt much make online learning bearable,negative,general,online platforms helped students adjust adapt much make online learning bearable
,2022-07-12 18:27:15+00:00,giving somehow fast transactions since online class started newerauniversityonlineservice cashier,negative,cashier,Improvements can be made in the cashier service. giving somehow fast transactions since online class started newerauniversityonlineservice cashier
,2022-07-12 17:33:00+00:00,payment process depends crowd congested cashier releasing payment take 1 week,negative,cashier,Improvements can be made in the cashier service. payment process depends crowd congested cashier releasing payment take 1 week
,2022-07-12 18:25:25+00:00,try email neu regarding incoming enrollment message totally ignored today easier,negative,registrar,Improvements can be made in the registrar service. try email neu regarding incoming enrollment message totally ignored today easier
,2022-07-12 17:33:26+00:00,bad good either neuvle design simple user friendly mid newerauniversityonlineservice learningplatform,negative,LearningPlatform,Improvements can be made in the Learning Platform. good good either neuvle design simple user friendly mid newerauniversityonlineservice learningplatform
,2022-07-12 17:33:31+00:00,provide accommodating service students university always sending com tran,negative,general,provide accommodating service students university always sending com tran
,2022-07-12 18:20:36+00:00,excellent always assist newerauniversityonlineservice registrar,negative,registrar,Improvements can be made in the registrar service. excellent always assist newerauniversityonlineservice registrar
,2022-07-12 18:22:32+00:00,hard interact neus registrar online services sometimes problem,negative,registrar,Improvements can be made in the registrar service. hard interact neus registrar online services sometimes problem
,2022-07-12 18:21:59+00:00,thoughts experience aware every student needs response soon p,negative,general,thoughts experience aware every student needs response soon p
